column,missing_values,missing_pct
electricity_business_usd_kwh,97,44.7
water_stress_pct_latest,39,17.97
freshwater_m3_per_capita_latest,34,15.67
internet_penetration_pct_clean,27,12.44
internet_penetration_percent,26,11.98
worldrisk_index_2025,24,11.06
worldrisk_exposure_2025,24,11.06
renewable_share_pct,23,10.6
political_stability_score_0_100_avg_3y,11,5.07
avg_mean_temp_c_2021_2023,4,1.84
max_daily_max_temp_c_2021_2023,4,1.84
cooling_degree_days_65f_2021_2023,4,1.84
days_heat_index_gt35c_2021_2023,4,1.84
country,0,0.0
iso3,0,0.0
region,0,0.0
has_data_center_record,0,0.0
total_data_centers,0,0.0
log_total_data_centers,0,0.0
