,total_data_centers,log_total_data_centers,avg_mean_temp_c_2021_2023,max_daily_max_temp_c_2021_2023,cooling_degree_days_65f_2021_2023,days_heat_index_gt35c_2021_2023,water_stress_pct_latest,freshwater_m3_per_capita_latest,worldrisk_exposure_2025,worldrisk_index_2025,political_stability_score_0_100_avg_3y,electricity_business_usd_kwh,renewable_share_pct,internet_penetration_pct_clean
total_data_centers,1.0,1.0,-0.4352641740088937,0.17262814993084494,-0.41336606860468617,-0.0199995666545855,0.1779508696589765,0.02043553979957625,0.3138795462490676,0.24477352070927216,-0.10154829613158815,0.12205995736746096,0.2262250519370249,0.5662570656596142
log_total_data_centers,1.0,1.0,-0.4352641740088937,0.17262814993084494,-0.41336606860468617,-0.0199995666545855,0.1779508696589765,0.02043553979957625,0.3138795462490676,0.24477352070927216,-0.10154829613158815,0.12205995736746096,0.2262250519370249,0.5662570656596142
avg_mean_temp_c_2021_2023,-0.4352641740088937,-0.4352641740088937,1.0,0.30962254767133696,0.9854886013360485,0.5699024876614764,-0.038036956022184924,-0.2593816423419295,0.038495246200842374,0.10410705999298832,-0.09428913047688246,-0.052686866425299815,-0.4188998574774828,-0.436851533789428
max_daily_max_temp_c_2021_2023,0.17262814993084494,0.17262814993084494,0.30962254767133696,1.0,0.35670084209711056,0.5823376458717759,0.23471453694906744,-0.4210463449593884,0.10644825148582866,0.20503140927904384,-0.5812314140993976,-0.26933828079729843,-0.212809418455099,-0.2036853037046922
cooling_degree_days_65f_2021_2023,-0.41336606860468617,-0.41336606860468617,0.9854886013360485,0.35670084209711056,1.0,0.6262363455433718,0.0175449422243595,-0.28420848574091623,0.05408717004511098,0.12297377546463553,-0.13880336608212365,-0.10700105766516857,-0.4516789069265126,-0.4448605897610381
days_heat_index_gt35c_2021_2023,-0.0199995666545855,-0.0199995666545855,0.5699024876614764,0.5823376458717759,0.6262363455433718,1.0,0.244632544412534,-0.3102451101289996,0.2974298183368919,0.3625778843109779,-0.4137917265902481,-0.21740397890192503,-0.3035966509421299,-0.19328885256122802
water_stress_pct_latest,0.1779508696589765,0.1779508696589765,-0.038036956022184924,0.23471453694906744,0.0175449422243595,0.244632544412534,1.0,-0.6780246167529675,0.1058919223416393,0.05937104814228452,-0.12115289681769714,-0.19236607590007582,-0.3371565590653967,0.17288165573513706
freshwater_m3_per_capita_latest,0.02043553979957625,0.02043553979957625,-0.2593816423419295,-0.4210463449593884,-0.28420848574091623,-0.3102451101289996,-0.6780246167529675,1.0,0.24080076374913426,0.20682306764271188,0.21225204781394566,0.12687365122879002,0.4679657924760616,0.034133341208115286
worldrisk_exposure_2025,0.3138795462490676,0.3138795462490676,0.038495246200842374,0.10644825148582866,0.05408717004511098,0.2974298183368919,0.1058919223416393,0.24080076374913426,1.0,0.9524299007860604,-0.20536904980669582,0.012216337792640908,0.07607989985288195,-0.014470268355161329
worldrisk_index_2025,0.24477352070927216,0.24477352070927216,0.10410705999298832,0.20503140927904384,0.12297377546463553,0.3625778843109779,0.05937104814228452,0.20682306764271188,0.9524299007860604,1.0,-0.41308294433922743,-0.06696973487603819,0.10297444058104309,-0.19103178694847595
political_stability_score_0_100_avg_3y,-0.10154829613158815,-0.10154829613158815,-0.09428913047688246,-0.5812314140993976,-0.13880336608212365,-0.4137917265902481,-0.12115289681769714,0.21225204781394566,-0.20536904980669582,-0.41308294433922743,1.0,0.4553071634526785,-0.0305728888003426,0.4488934767547651
electricity_business_usd_kwh,0.12205995736746096,0.12205995736746096,-0.052686866425299815,-0.26933828079729843,-0.10700105766516857,-0.21740397890192503,-0.19236607590007582,0.12687365122879002,0.012216337792640908,-0.06696973487603819,0.4553071634526785,1.0,0.009717632250818977,0.23645309021346037
renewable_share_pct,0.2262250519370249,0.2262250519370249,-0.4188998574774828,-0.212809418455099,-0.4516789069265126,-0.3035966509421299,-0.3371565590653967,0.4679657924760616,0.07607989985288195,0.10297444058104309,-0.0305728888003426,0.009717632250818977,1.0,0.022967057002943304
internet_penetration_pct_clean,0.5662570656596142,0.5662570656596142,-0.436851533789428,-0.2036853037046922,-0.4448605897610381,-0.19328885256122802,0.17288165573513706,0.034133341208115286,-0.014470268355161329,-0.19103178694847595,0.4488934767547651,0.23645309021346037,0.022967057002943304,1.0
