country,iso3,region,cost_score,sustainability_score,resilience_score
Iceland,ISL,Europe & Central Asia,0.8932941067457376,0.9742657147565108,0.8637430968000994
Bhutan,BTN,South Asia,0.8721891215715345,0.8954241258975141,0.9095963150984211
Kyrgyz Republic,KGZ,Europe & Central Asia,0.8697646404744255,0.7879720463403612,0.4506936897264523
Norway,NOR,Europe & Central Asia,0.8415208796639486,0.9389442139535542,0.7556785964904348
Lesotho,LSO,Sub-Saharan Africa ,0.8183753397578453,0.5893760784716795,0.6189413982387649
Canada,CAN,North America,0.8150216209537928,0.860795348561503,0.5157680382636655
Uzbekistan,UZB,Europe & Central Asia,0.8078131949592291,0.4559762490149982,0.5796187548208946
Kazakhstan,KAZ,Europe & Central Asia,0.7900911168766986,0.5603311128984805,0.5513636931287631
Finland,FIN,Europe & Central Asia,0.7637089201877935,0.804665713886392,0.7807295853396192
Belarus,BLR,Europe & Central Asia,0.7442584012849024,0.6202858449589386,0.6337495927832338
Azerbaijan,AZE,Europe & Central Asia,0.7438488386459104,0.47641463670629514,0.47037698641535874
Angola,AGO,Sub-Saharan Africa ,0.7265143933778108,0.633103703498259,0.366459875118506
Georgia,GEO,Europe & Central Asia,0.7158435260686928,0.8302010681798035,0.49665722193487033
Argentina,ARG,Latin America & Caribbean ,0.703656103286385,0.6148063794947762,0.38262548248363276
Armenia,ARM,Europe & Central Asia,0.6962634358784285,0.6344099696056567,0.45372389458292445
