country,iso3,region,cooling_degree_days_65f_2021_2023,political_stability_score_0_100_avg_3y
Liechtenstein,LIE,Europe & Central Asia,52.43333333333334,92.98
San Marino,SMR,Europe & Central Asia,1289.56,89.41000000000001
Bhutan,BTN,South Asia,418.3133333333333,88.71666666666665
Monaco,MCO,Europe & Central Asia,985.25,88.64666666666666
Uruguay,URY,Latin America & Caribbean ,1358.9266666666665,87.31666666666666
Greenland,GRL,Europe & Central Asia,0.0,87.19666666666667
Iceland,ISL,Europe & Central Asia,0.02,86.83999999999999
Japan,JPN,East Asia & Pacific,1144.0466666666669,86.83333333333333
New Zealand,NZL,East Asia & Pacific,64.50666666666666,86.78000000000002
Costa Rica,CRI,Latin America & Caribbean ,3307.873333333333,85.85666666666667
New Caledonia,NCL,East Asia & Pacific,3021.896666666667,84.85000000000001
Botswana,BWA,Sub-Saharan Africa ,2927.7666666666664,83.68666666666667
Luxembourg,LUX,Europe & Central Asia,196.43666666666664,83.61666666666666
Czechia,CZE,Europe & Central Asia,267.36,83.19333333333334
Switzerland,CHE,Europe & Central Asia,126.73666666666668,82.96
Bermuda,BMU,North America,2727.7433333333333,82.56333333333333
Lithuania,LTU,Europe & Central Asia,243.2433333333333,82.14999999999999
Norway,NOR,Europe & Central Asia,14.15,81.60666666666667
Finland,FIN,Europe & Central Asia,96.46999999999998,81.19333333333333
Malta,MLT,"Middle East, North Africa, Afghanistan & Pakistan",2084.5933333333337,81.12333333333333
Australia,AUS,East Asia & Pacific,3454.24,80.81
Denmark,DNK,Europe & Central Asia,57.28,80.19333333333333
Mauritius,MUS,Sub-Saharan Africa ,3652.0766666666655,80.04666666666667
Cabo Verde,CPV,Sub-Saharan Africa ,3410.853333333334,79.98333333333333
"Korea, Rep.",KOR,East Asia & Pacific,1269.4366666666667,79.71666666666665
Estonia,EST,Europe & Central Asia,193.13666666666663,79.68
Ireland,IRL,Europe & Central Asia,24.14,79.51333333333334
Slovenia,SVN,Europe & Central Asia,483.6933333333333,79.30333333333333
Sweden,SWE,Europe & Central Asia,50.26333333333333,79.12666666666667
Latvia,LVA,Europe & Central Asia,210.28,78.64666666666666
Portugal,PRT,Europe & Central Asia,918.56,78.49333333333334
Lao PDR,LAO,East Asia & Pacific,3607.35,77.27666666666666
Croatia,HRV,Europe & Central Asia,899.1866666666666,77.26666666666667
Austria,AUT,Europe & Central Asia,210.43,76.10666666666667
Slovak Republic,SVK,Europe & Central Asia,407.2633333333333,75.85666666666667
Canada,CAN,North America,79.61,75.76
Mongolia,MNG,East Asia & Pacific,419.5033333333333,75.54666666666667
Hungary,HUN,Europe & Central Asia,847.9200000000001,75.52
Netherlands,NLD,Europe & Central Asia,180.81333333333336,75.35666666666667
Poland,POL,Europe & Central Asia,316.2533333333333,74.67333333333333
Namibia,NAM,Sub-Saharan Africa ,2713.773333333333,73.49666666666667
Romania,ROU,Europe & Central Asia,650.2966666666667,72.77
Italy,ITA,Europe & Central Asia,1090.7266666666667,72.7
Cyprus,CYP,Europe & Central Asia,2471.2233333333334,72.50333333333333
Germany,DEU,Europe & Central Asia,255.65666666666667,72.49333333333334
United Kingdom,GBR,Europe & Central Asia,53.73666666666667,71.55666666666667
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,654.6199999999999,71.11666666666667
Greece,GRC,Europe & Central Asia,1315.3333333333333,70.23333333333333
North Macedonia,MKD,Europe & Central Asia,754.2199999999999,69.85333333333334
Bulgaria,BGR,Europe & Central Asia,812.0966666666667,69.77666666666666
Turkmenistan,TKM,Europe & Central Asia,3118.863333333333,69.67
Montenegro,MNE,Europe & Central Asia,501.7366666666667,69.41000000000001
Belgium,BEL,Europe & Central Asia,202.54,69.12666666666667
Spain,ESP,Europe & Central Asia,1144.3933333333334,67.61666666666667
Chile,CHL,Latin America & Caribbean ,92.82666666666664,67.06
